Time (s),Altitude,Controller Output,Ascent Rate (m/s),Filtered Ascent Rate (m/s)
614,3726165,0,5361,6098
615,3730549,0,4384,6063
616,3736466,0,5917,6059
617,3743893,0,7427,6085
618,3746376,0,2483,6012
619,3755918,0,9542,6081
620,3762149,0,6231,6083
621,3767164,0,5015,6061
622,3770723,0,3559,6010
623,3777906,0,7183,6032
624,3783496,0,5590,6022
625,3793726,0,10230,6105
626,3803221,0,9495,6171
627,3809390,0,6169,6170
628,3818787,0,9397,6233
629,3826677,0,7890,6265
630,3833134,0,6457,6268
631,3842043,0,8909,6320
632,3850901,0,8858,6370
633,3855000,0,4099,6323
634,3861276,0,6276,6321
635,3865832,0,4556,6285
636,3872029,0,6197,6282
637,3878225,0,6196,6279
638,3885421,0,7196,6296
639,3893868,0,8447,6338
640,3899477,0,5609,6323
641,3907613,0,8136,6358
642,3912958,0,5345,6336
643,3919791,0,6833,6345
644,3925954,0,6163,6341
645,3935489,0,9535,6404
646,3941343,0,5854,6392
647,3947818,0,6475,6393
648,3952781,0,4963,6364
649,3960881,0,8100,6398
650,3967012,0,6131,6392
651,3973575,0,6563,6395
652,3981019,0,7444,6415
653,3988351,0,7332,6432
654,3995737,0,7386,6450
655,4002205,0,6468,6450
656,4009053,0,6848,6457
657,4014135,0,5082,6428
658,4021099,0,6964,6438
659,4026539,0,5440,6417
660,4030908,0,4369,6375
661,4033771,0,2863,6304
662,4040146,0,6375,6304
663,4046599,0,6453,6306
664,4053626,0,7027,6319
665,4062242,0,8616,6364
666,4068693,0,6451,6365
667,4075353,0,6660,6370
668,4083264,0,7911,6400
669,4089755,0,6491,6401
670,4097572,0,7817,6428
671,4104197,0,6625,6431
672,4111528,0,7331,6448
673,4117644,0,6116,6441
674,4125149,0,7505,6462
675,4130520,0,5371,6439
676,4135263,0,4743,6404
677,4138993,0,3730,6349
678,4144398,0,5405,6330
679,4151364,0,6966,6342
680,4156219,0,4855,6312
681,4161124,0,4905,6283
682,4168105,0,6981,6296
683,4173575,0,5470,6279
684,4179265,0,5690,6266
685,4188072,0,8807,6316
686,4196217,0,8145,6351
687,4202655,0,6438,6351
688,4210288,0,7633,6375
689,4217945,0,7657,6400
690,4223332,0,5387,6379
691,4229474,0,6142,6373
692,4236177,0,6703,6379
693,4241692,0,5515,6361
694,4245787,0,4095,6314
695,4256056,0,10269,6392
696,4262170,0,6114,6386
697,4267724,0,5554,6369
698,4276481,0,8757,6416
699,4283251,0,6770,6422
700,4289000,0,5749,6407
701,4295133,0,6133,6400
702,4303118,0,7985,6431
703,4309825,0,6707,6436
704,4315627,0,5802,6423
705,4319496,0,3869,6371
706,4325394,0,5898,6360
707,4330876,0,5482,6341
708,4337178,0,6302,6340
709,4346479,0,9301,6399
710,4354377,0,7898,6428
711,4360807,0,6430,6427
712,4367203,0,6396,6425
713,4373834,0,6631,6428
714,4380412,0,6578,6430
715,4386556,0,6144,6423
716,4394186,0,7630,6446
717,4401325,0,7139,6459
718,4411309,0,9984,6528
719,4416146,0,4837,6493
720,4420536,0,4390,6450
721,4427962,0,7426,6469
722,4434304,0,6342,6465
723,4441024,0,6720,6469
724,4448674,0,7650,6492
725,4455239,0,6565,6493
726,4465175,0,9936,6561
727,4471522,0,6347,6555
728,4477541,0,6019,6543
729,4486910,0,9369,6599
730,4491938,0,5028,6567
731,4501623,0,9685,6628
732,4508578,0,6955,6634
733,4516603,0,8025,6661
734,4525365,0,8762,6702
735,4529873,0,4508,6657
736,4535918,0,6045,6643
737,4544029,0,8111,6672
738,4553202,0,9173,6721
739,4559736,0,6534,6716
740,4563796,0,4060,6662
741,4568994,0,5198,6631
742,4577403,0,8409,6666
743,4583960,0,6557,6663
744,4588203,0,4243,6613
745,4597657,0,9454,6669
746,4603621,0,5964,6654
747,4610572,0,6951,6659
748,4616511,0,5939,6643
749,4622896,0,6385,6637
750,4630209,0,7313,6650
751,4640141,0,9932,6715
752,4646409,0,6268,6705
753,4654040,0,7631,6722
754,4660215,0,6175,6710
755,4665516,0,5301,6681
756,4669470,0,3954,6626
757,4677378,0,7908,6651
758,4683593,0,6215,6641
759,4691722,0,8129,6670
760,4697864,0,6142,6658
761,4706877,0,9013,6704
762,4712814,0,5937,6687
763,4719275,0,6461,6682
764,4722655,0,3380,6615
765,4729171,0,6516,6612
766,4736204,0,7033,6619
767,4740769,0,4565,6577
768,4745513,0,4744,6539
769,4752988,0,7475,6557
770,4760317,0,7329,6571
771,4767178,0,6861,6576
772,4773705,0,6527,6574
773,4782195,0,8490,6611
774,4792272,0,10077,6679
775,4800630,0,8358,6712
776,4806420,0,5790,6692
777,4812823,0,6403,6686
778,4820149,0,7326,6698
779,4827851,0,7702,6718
780,4834007,0,6156,6706
781,4840463,0,6456,6700
782,4848850,0,8387,6733
783,4854929,0,6079,6719
784,4859626,0,4697,6677
785,4865973,0,6347,6669
786,4872893,0,6920,6673
787,4879775,0,6882,6676
788,4887318,0,7543,6692
789,4890148,0,2830,6614
790,4896468,0,6320,6607
791,4902685,0,6217,6598
792,4909084,0,6399,6593
793,4917642,0,8558,6632
794,4925637,0,7995,6658
795,4934532,0,8895,6701
796,4941405,0,6873,6703
797,4947550,0,6145,6690
798,4951400,0,3850,6633
799,4958424,0,7024,6640
800,4966046,0,7622,6659
801,4972211,0,6165,6648
802,4982202,0,9991,6714
803,4988796,0,6594,6710
804,4996080,0,7284,6720
805,5004796,0,8716,6759
806,5011199,0,6403,6751
807,5016418,0,5219,6719
808,5023187,0,6769,6719
809,5027988,0,4801,6680
810,5037964,0,9976,6745
811,5048075,0,10111,6812
812,5054944,0,6869,6812
813,5061462,0,6518,6805
814,5068040,0,6578,6799
815,5074637,0,6597,6794
816,5079201,0,4564,6749
817,5086183,0,6982,6753
818,5090817,0,4634,6709
819,5097505,0,6688,6707
820,5105176,0,7671,6725
821,5110015,0,4839,6686
822,5118882,0,8867,6729
823,5128763,0,9881,6791
824,5137178,0,8415,6823
825,5144140,0,6962,6825
826,5151413,0,7273,6833
827,5157232,0,5819,6812
828,5163909,0,6677,6808
829,5172107,0,8198,6834
830,5179647,0,7540,6847
831,5184912,0,5265,6815
832,5190598,0,5686,6791
833,5198217,0,7619,6807
834,5202827,0,4610,6762
835,5211370,0,8543,6796
836,5217452,0,6082,6781
837,5224148,0,6696,6778
838,5230960,0,6812,6778
839,5237637,0,6677,6775
840,5246124,0,8487,6808
841,5253162,0,7038,6811
842,5256128,0,2966,6733
843,5263752,0,7624,6750
844,5270911,0,7159,6758
845,5278457,0,7546,6772
846,5284444,0,5987,6755
