Time (s),Alt (m),aRate (m/s)
5068,1961.76,6.12
5069,1968.14,6.47
5070,1974.56,6.53
5071,1980.75,6.50
5072,1987.19,6.59
5073,1993.45,6.21
5074,1999.63,6.27
5075,2005.91,6.30
5076,2012.27,6.31
5077,2018.69,6.36
5078,2024.81,6.28
5079,2030.56,5.71
5080,2036.37,5.74
5081,2042.07,5.99
5082,2048.14,6.20
5083,2054.34,6.10
5084,2060.36,6.04
5085,2066.50,6.31
5086,2072.74,6.42
5087,2079.06,6.49
5088,2085.22,6.08
5089,2091.08,5.68
5090,2096.93,5.68
5091,2102.73,5.71
5092,2108.37,5.57
5093,2113.70,5.30
5094,2118.80,5.35
5095,2124.26,5.64
5096,2130.50,6.12
5097,2136.63,6.07
5098,2142.67,6.02
5099,2148.77,6.07
5100,2154.80,6.06
5101,2160.86,6.12
5102,2166.85,5.79
5103,2172.60,5.23
5104,2178.14,5.58
5105,2183.87,5.86
5106,2189.84,6.17
5107,2195.97,6.33
5108,2202.21,6.38
5109,2208.67,6.49
5110,2215.10,6.57
5111,2221.57,6.53
5112,2228.01,6.29
5113,2233.89,5.51
5114,2238.99,5.15
5115,2244.26,5.25
5116,2249.94,5.70
5117,2255.95,5.77
5118,2261.78,5.80
5119,2267.76,6.08
5120,2273.98,6.33
5121,2280.22,6.26
5122,2286.42,6.36
5123,2292.29,5.73
5124,2297.34,4.88
5125,2302.50,5.08
5126,2308.03,5.41
5127,2313.63,5.63
5128,2319.28,5.83
5129,2325.15,6.11
5130,2331.30,6.14
5131,2337.46,6.14
5132,2343.62,6.30
5133,2349.78,6.24
5134,2356.01,6.36
5135,2362.26,6.34
5136,2368.51,6.26
5137,2374.68,6.19
5138,2380.79,5.99
5139,2386.82,5.81
5140,2392.55,5.71
5141,2398.27,5.83
5142,2403.97,5.74
5143,2409.18,5.08
5144,2414.32,5.11
5145,2419.72,5.37
5146,2425.32,5.79
5147,2431.45,6.28
5148,2437.73,6.38
5149,2444.18,6.68
5150,2450.79,6.62
5151,2457.37,6.64
5152,2463.96,6.64
5153,2470.42,6.48
5154,2476.76,6.24
5155,2482.70,5.93
5156,2488.74,5.96
5157,2494.82,5.93
5158,2500.47,5.63
5159,2505.85,5.47
5160,2510.96,4.98
5161,2516.18,5.47
5162,2522.02,6.01
5163,2528.01,6.19
5164,2534.16,6.31
5165,2540.53,6.51
5166,2546.77,6.41
5167,2553.06,6.35
5168,2559.47,6.41
5169,2565.81,6.43
5170,2571.79,5.92
5171,2577.59,5.56
5172,2582.98,5.42
5173,2588.55,5.59
5174,2593.99,5.55
5175,2599.53,5.47
5176,2604.38,4.79
5177,2609.25,5.07
5178,2614.58,5.46
5179,2620.34,5.98
5180,2626.55,6.23
5181,2632.72,6.07
5182,2638.67,5.83
5183,2644.36,5.72
5184,2649.81,5.46
5185,2655.31,5.55
5186,2660.92,5.70
5187,2666.33,5.37
5188,2671.54,5.31
5189,2676.78,5.35
5190,2682.44,5.66
5191,2688.37,5.89
5192,2694.28,5.93
5193,2700.09,5.99
5194,2706.10,6.17
5195,2712.25,6.23
5196,2718.60,6.25
5197,2724.96,6.14
5198,2731.26,6.18
5199,2737.31,6.19
5200,2743.21,6.02
5201,2749.07,5.86
5202,2754.67,5.73
5203,2760.57,5.98
5204,2766.50,5.93
5205,2772.50,5.87
5206,2778.56,6.14
5207,2784.66,6.27
5208,2790.82,6.01
5209,2796.60,5.53
5210,2802.18,5.63
5211,2808.14,6.08
5212,2814.14,6.10
5213,2820.39,6.11
5214,2826.58,6.20
5215,2832.76,6.27
5216,2838.96,6.02
5217,2844.76,5.83
5218,2850.72,5.79
5219,2856.77,6.20
5220,2862.98,6.25
5221,2869.03,6.09
5222,2875.04,5.93
5223,2880.57,5.34
5224,2885.49,4.83
5225,2890.28,4.88
5226,2895.44,5.31
5227,2900.97,5.71
5228,2906.76,5.88
5229,2912.58,5.98
5230,2918.63,6.18
5231,2924.94,6.04
5232,2930.88,6.01
5233,2936.80,6.12
5234,2943.02,6.35
5235,2949.18,6.30
5236,2955.48,6.28
5237,2961.44,5.86
5238,2967.11,5.65
5239,2972.86,5.84
5240,2978.88,5.93
5241,2984.86,6.04
5242,2990.99,6.23
5243,2996.94,6.01
5244,3002.66,5.84
5245,3008.23,5.75
5246,3014.08,6.03
5247,3020.34,6.44
5248,3027.16,6.66
5249,3033.90,6.62
5250,3040.60,6.77
5251,3047.14,6.65
5252,3053.58,6.69
5253,3060.17,6.61
5254,3066.69,6.39
5255,3073.12,6.20
5256,3079.47,6.13
5257,3085.58,6.11
5258,3091.60,6.15
5259,3097.93,6.31
5260,3104.32,6.57
5261,3110.84,6.51
5262,3117.43,6.59
5263,3124.25,6.74
5264,3131.07,6.77
5265,3138.16,7.06
5266,3144.87,6.64
5267,3150.89,5.77
5268,3156.34,5.21
5269,3161.96,5.42
5270,3167.61,5.79
5271,3173.57,6.03
5272,3179.51,5.98
5273,3185.10,5.67
5274,3190.50,5.57
5275,3196.09,5.66
5276,3202.01,5.78
5277,3208.15,6.10
5278,3214.37,6.32
5279,3220.59,6.32
5280,3226.73,6.14
5281,3232.58,5.85
5282,3238.29,5.68
5283,3243.90,5.67
5284,3249.65,5.77
5285,3255.43,5.70
5286,3261.07,5.65
5287,3266.61,5.70
5288,3272.28,5.71
5289,3277.46,5.25
5290,3282.55,5.06
5291,3287.95,5.36
5292,3293.31,5.42
5293,3299.29,5.86
5294,3305.13,5.74
5295,3311.04,6.15
5296,3317.25,6.21
5297,3323.46,6.24
5298,3329.69,6.34
5299,3336.08,6.34
5300,3342.65,6.58
5301,3349.18,6.70
5302,3355.70,6.64
5303,3362.25,6.64
5304,3368.91,6.70
5305,3375.65,6.65
5306,3382.23,6.49
5307,3388.66,6.12
5308,3394.63,5.91
5309,3400.09,5.73
5310,3406.08,6.19
5311,3412.30,6.28
5312,3418.47,6.20
5313,3424.34,5.68
5314,3430.00,5.49
5315,3435.45,5.68
5316,3441.15,5.95
5317,3447.22,6.17
5318,3453.26,6.17
5319,3459.56,6.40
5320,3465.90,6.37
5321,3472.11,6.24
5322,3478.29,6.14
5323,3484.44,6.11
5324,3490.49,6.03
5325,3496.57,6.09
5326,3502.77,6.08
5327,3508.96,6.12
5328,3515.10,6.06
5329,3521.26,6.12
5330,3527.32,6.15
5331,3533.21,6.14
5332,3539.32,6.25
5333,3545.60,6.36
5334,3551.98,6.36
5335,3558.26,6.47
5336,3564.72,6.66
5337,3571.29,6.75
5338,3577.98,6.82
5339,3584.79,6.87
5340,3591.53,6.65
